iter	MultiClass
0	1.08314517
1	1.069522468
2	1.057647893
3	1.046402938
4	1.036905265
5	1.027669565
6	1.019548281
7	1.012448976
8	1.005812356
9	0.9998110457
10	0.9939379284
11	0.9885910718
12	0.9837271244
13	0.9794069958
14	0.9753445901
15	0.9716930521
16	0.9683988696
17	0.9652068196
18	0.9620296254
19	0.9593813391
20	0.9570081957
21	0.9546053554
22	0.9524904497
23	0.9503959007
24	0.9484857506
25	0.9467817024
26	0.9450083643
27	0.9433159919
28	0.9418310001
29	0.9405075752
30	0.9392502461
31	0.938218345
32	0.937282188
33	0.9363215831
34	0.9353072386
35	0.9343373789
36	0.9334037059
37	0.9325181201
38	0.9318589799
39	0.9311318463
40	0.9305036697
41	0.9298786239
42	0.9292491939
43	0.9286490284
44	0.9280686331
45	0.9275835396
46	0.9271321871
47	0.9265829201
48	0.926184812
49	0.9256811791
50	0.9253205944
51	0.9248831827
52	0.9245247195
53	0.9242006793
54	0.9238773909
55	0.9235634267
56	0.9231875453
57	0.9229391109
58	0.9226749681
59	0.922408357
60	0.9221848777
61	0.9219979342
62	0.9217343129
63	0.9215102348
64	0.9212684799
65	0.9210403703
66	0.9208349509
67	0.9206341076
68	0.9204151025
69	0.9202348101
70	0.9200753956
71	0.9199136422
72	0.919722939
73	0.9196162465
74	0.9194602828
75	0.9193301414
76	0.9191897881
77	0.9190884474
78	0.9189551167
79	0.9187957523
80	0.9186230997
81	0.9184695678
82	0.9183382946
83	0.9182025127
84	0.9180812542
85	0.9180093995
86	0.9178521035
87	0.9177533831
88	0.9176424252
89	0.9175614155
90	0.9174753959
91	0.9173918483
92	0.9172776181
93	0.9171529821
94	0.917021712
95	0.9169277724
96	0.9168532609
97	0.9167492141
98	0.9166659825
99	0.916551371
100	0.9164707023
101	0.9164104713
102	0.9163455901
103	0.9162746493
104	0.9161735609
105	0.9160846755
106	0.9159783991
107	0.9158947944
108	0.9158371118
109	0.9157215916
110	0.915632425
111	0.9155480686
112	0.9154721622
113	0.9153928176
114	0.9152928416
115	0.9151906448
116	0.9151294771
117	0.9150777229
118	0.9149788547
119	0.9148306145
120	0.9147290193
121	0.9146834315
122	0.9146422487
123	0.9145603561
124	0.9145086553
125	0.9144413607
126	0.9144102675
127	0.9143304893
128	0.9142421852
129	0.9141835828
130	0.9141225015
131	0.914070488
132	0.9139993225
133	0.9139059751
134	0.9138367798
135	0.9138029835
136	0.913739043
137	0.9136853685
138	0.9136353709
139	0.9135909382
140	0.9135243725
141	0.9134472693
142	0.9134296485
143	0.9133844625
144	0.9133265747
145	0.9132793337
146	0.913212224
147	0.9131497065
148	0.9130952971
149	0.9130371914
150	0.9129423152
151	0.9129022131
152	0.9128541903
153	0.9128132889
154	0.9127395687
155	0.912686368
156	0.9126072606
157	0.9125678145
158	0.9125094512
159	0.9124575667
160	0.9124231863
161	0.9123819777
162	0.9123434886
163	0.9122480287
164	0.9122062905
165	0.9121359868
166	0.9120870435
167	0.9120340587
168	0.9119711916
169	0.9119019206
170	0.911846607
171	0.9118110325
172	0.9117652433
173	0.9117188004
174	0.9116763379
175	0.9116077873
176	0.9115316951
177	0.9114629622
178	0.9114037602
179	0.9113535604
180	0.9113132362
181	0.9112547881
182	0.9111877397
183	0.911147456
184	0.9110990533
185	0.9110270824
186	0.910968536
187	0.9109134912
188	0.9108646603
189	0.9108007414
190	0.9107373562
191	0.9106639818
192	0.9106110929
193	0.9105368963
194	0.9105099521
195	0.9104842117
196	0.9104382672
197	0.9104065776
198	0.9103796807
199	0.9103059093
200	0.9102422033
201	0.9102006531
202	0.9101585583
203	0.9101322313
204	0.9100630447
205	0.9100556126
206	0.9099957172
207	0.9099564555
208	0.9098937746
209	0.9098223509
210	0.9097786508
211	0.9096997493
212	0.9096151958
213	0.9095637727
214	0.909526576
215	0.9094926637
216	0.9094450907
217	0.9093597932
218	0.9092766396
219	0.9091766216
220	0.9091252146
221	0.9090569137
222	0.9090191321
223	0.9089418005
224	0.9089052246
225	0.9088281456
226	0.9087396974
227	0.9086679911
228	0.9085991395
229	0.9085233429
230	0.9084515349
231	0.9084006509
232	0.9083091203
233	0.9082726045
234	0.9082176614
235	0.9081932447
236	0.9081077938
237	0.9080498684
238	0.9080015916
239	0.9079451412
240	0.9079031891
241	0.9078558299
242	0.9077799012
243	0.9077154776
244	0.9076500575
245	0.9075958816
246	0.9075346225
247	0.9074772821
248	0.9074263455
249	0.9073655607
250	0.9073125406
251	0.9072387365
252	0.9071634694
253	0.9071512192
254	0.9071158232
255	0.9070599386
256	0.9070043159
257	0.9069564131
258	0.9069042288
259	0.9068333343
260	0.9068044257
261	0.906760512
262	0.9067267015
263	0.9066737787
264	0.9065977265
265	0.9065461046
266	0.9064934486
267	0.9064308952
268	0.9063931577
269	0.9063686883
270	0.9063263904
271	0.9062534087
272	0.9061878491
273	0.9061576945
274	0.9061266995
275	0.9060718119
276	0.9060199242
277	0.9059534397
278	0.9058210978
279	0.9057584398
280	0.905689661
281	0.9056113991
282	0.9055500131
283	0.9054966865
284	0.9054752208
285	0.905418778
286	0.9053808124
287	0.9053363751
288	0.9052878013
289	0.9052401224
290	0.905225565
291	0.9051402252
292	0.9051020139
293	0.9050657139
294	0.9050206864
295	0.9049544582
296	0.9048859716
297	0.9048391784
298	0.9048165397
299	0.9047052785
