iter	Passed	Remaining
0	3	999
1	6	1018
2	10	1014
3	13	967
4	15	921
5	18	882
6	20	861
7	23	855
8	26	858
9	29	850
10	31	836
11	34	824
12	36	810
13	39	800
14	42	805
15	44	796
16	47	788
17	50	784
18	55	815
19	58	821
20	62	827
21	65	822
22	67	811
23	69	799
24	72	795
25	74	790
26	76	776
27	79	767
28	81	762
29	83	750
30	85	739
31	87	730
32	89	725
33	92	723
34	96	732
35	100	733
36	103	732
37	105	729
38	109	732
39	111	725
40	116	734
41	120	741
42	124	741
43	126	734
44	128	730
45	131	726
46	133	719
47	135	711
48	137	703
49	139	697
50	141	691
51	143	683
52	145	679
53	147	674
54	150	668
55	152	665
56	155	661
57	157	655
58	159	650
59	161	646
60	163	641
61	166	638
62	169	636
63	171	631
64	174	630
65	177	628
66	181	629
67	184	629
68	186	625
69	189	623
70	192	620
71	194	616
72	197	613
73	199	608
74	201	605
75	203	601
76	205	596
77	207	591
78	210	588
79	212	585
80	214	581
81	217	577
82	219	574
83	222	571
84	225	569
85	228	568
86	232	568
87	235	566
88	237	563
89	240	561
90	243	558
91	246	556
92	249	554
93	261	573
94	266	576
95	272	579
96	276	577
97	280	578
98	286	581
99	289	579
100	292	577
101	296	575
102	298	571
103	301	568
104	305	567
105	313	573
106	319	575
107	322	574
108	325	570
109	329	569
110	332	566
111	335	562
112	337	557
113	339	553
114	341	548
115	343	544
116	345	540
117	347	536
118	350	532
119	352	529
120	355	525
121	357	521
122	359	517
123	362	513
124	364	510
125	367	506
126	369	503
127	372	500
128	375	497
129	377	494
130	380	490
131	382	487
132	386	485
133	389	483
134	392	479
135	395	476
136	397	473
137	400	469
138	402	466
139	405	463
140	408	460
141	410	456
142	413	454
143	416	451
144	419	448
145	422	445
146	424	442
147	427	438
148	429	435
149	431	431
150	433	428
151	435	424
152	437	420
153	440	417
154	442	413
155	444	410
156	447	407
157	449	404
158	452	400
159	455	398
160	459	396
161	463	395
162	467	393
163	472	391
164	477	390
165	482	389
166	486	387
167	488	383
168	490	380
169	494	378
170	497	375
171	499	371
172	501	368
173	503	364
174	506	361
175	509	358
176	512	355
177	514	352
178	516	349
179	518	345
180	521	342
181	523	339
182	525	336
183	528	333
184	530	329
185	533	326
186	534	323
187	537	319
188	539	316
189	541	313
190	543	310
191	546	307
192	548	304
193	551	301
194	553	298
195	556	295
196	558	291
197	560	288
198	562	285
199	565	282
200	567	279
201	569	276
202	572	273
203	574	270
204	577	267
205	579	264
206	581	261
207	583	257
208	586	255
209	590	252
210	592	250
211	595	247
212	598	244
213	601	241
214	604	238
215	606	235
216	609	232
217	611	229
218	613	226
219	615	223
220	617	220
221	619	217
222	621	214
223	623	211
224	626	208
225	629	206
226	631	203
227	633	200
228	635	197
229	637	194
230	639	191
231	641	188
232	643	185
233	645	182
234	647	179
235	649	176
236	651	173
237	653	170
238	655	167
239	657	164
240	660	161
241	662	158
242	664	155
243	666	152
244	668	150
245	670	147
246	672	144
247	674	141
248	677	138
249	678	135
250	681	133
251	683	130
252	686	127
253	688	124
254	690	121
255	692	119
256	694	116
257	696	113
258	698	110
259	700	107
260	702	104
261	704	102
262	706	99
263	708	96
264	710	93
265	712	91
266	713	88
267	715	85
268	717	82
269	720	80
270	722	77
271	725	74
272	727	71
273	728	69
274	731	66
275	733	63
276	735	61
277	738	58
278	740	55
279	743	53
280	745	50
281	747	47
282	750	45
283	752	42
284	755	39
285	757	37
286	759	34
287	762	31
288	764	29
289	767	26
290	770	23
291	774	21
292	778	18
293	784	16
294	790	13
295	797	10
296	801	8
297	804	5
298	808	2
299	811	0
