rank,team,rating,average_rank,average_rating,one_year_change_rank,one_year_change_rating,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,source_name,source_date
1,Spain,2129,7,1946,0,-28,783,341,302,140,462,138,183,1595,699,World Football Elo Ratings PDF,2026-06-21
2,Argentina,2128,5,1987,0,-4,1112,381,419,312,613,228,271,2120,1136,World Football Elo Ratings PDF,2026-06-21
3,France,2084,16,1795,0,29,941,475,341,125,476,270,195,1713,1276,World Football Elo Ratings PDF,2026-06-21
4,England,2055,4,1983,2,71,1163,509,524,130,686,215,262,2727,1120,World Football Elo Ratings PDF,2026-06-21
5,Colombia,1998,48,1621,3,48,651,185,229,237,268,205,178,850,743,World Football Elo Ratings PDF,2026-06-21
6,Brazil,1986,4,1998,-1,-15,1069,373,346,350,673,172,224,2306,958,World Football Elo Ratings PDF,2026-06-21
7,Netherlands,1972,15,1848,0,-3,905,430,358,117,467,240,198,1901,1147,World Football Elo Ratings PDF,2026-06-21
8,Portugal,1967,19,1797,-4,-63,697,322,262,113,348,189,160,1227,782,World Football Elo Ratings PDF,2026-06-21
9,Germany,1954,8,1911,1,41,1049,470,416,163,608,224,217,2367,1235,World Football Elo Ratings PDF,2026-06-21
10,Norway,1929,38,1623,4,63,889,426,409,54,336,355,198,1381,1446,World Football Elo Ratings PDF,2026-06-21
11,Japan,1910,61,1467,5,53,837,332,207,298,409,257,171,1520,987,World Football Elo Ratings PDF,2026-06-21
12,Mexico,1896,20,1783,12,75,1031,299,273,459,537,257,237,1832,1054,World Football Elo Ratings PDF,2026-06-21
13,Ecuador,1890,64,1526,-2,-15,601,183,211,207,185,255,161,724,905,World Football Elo Ratings PDF,2026-06-21
14,Switzerland,1885,27,1689,4,40,898,426,391,81,320,373,205,1343,1486,World Football Elo Ratings PDF,2026-06-21
15,Croatia,1881,12,1881,-6,-46,401,158,167,76,210,85,106,698,408,World Football Elo Ratings PDF,2026-06-21
16,Belgium,1879,24,1755,1,32,879,416,376,87,392,302,185,1607,1360,World Football Elo Ratings PDF,2026-06-21
17,Uruguay,1870,12,1877,-5,-31,1020,336,432,252,446,321,253,1611,1255,World Football Elo Ratings PDF,2026-06-21
18,Denmark,1869,20,1799,-3,4,905,414,396,95,420,298,187,1652,1221,World Football Elo Ratings PDF,2026-06-21
18,Italy,1869,8,1915,-5,-13,903,407,325,171,481,177,245,1581,894,World Football Elo Ratings PDF,2026-06-21
20,Morocco,1866,43,1657,5,54,732,319,219,194,366,165,201,1110,616,World Football Elo Ratings PDF,2026-06-21
21,Austria,1857,20,1810,-3,12,867,432,383,52,372,310,185,1564,1322,World Football Elo Ratings PDF,2026-06-21
22,Senegal,1839,56,1591,8,54,707,221,260,226,319,194,194,970,675,World Football Elo Ratings PDF,2026-06-21
23,United States,1820,41,1642,18,105,829,491,253,85,369,287,173,1256,1078,World Football Elo Ratings PDF,2026-06-21
24,Paraguay,1816,23,1755,-1,-9,791,215,366,210,278,304,209,1008,1119,World Football Elo Ratings PDF,2026-06-21
25,Turkey,1813,43,1610,-3,-23,672,290,300,82,264,252,156,950,973,World Football Elo Ratings PDF,2026-06-21
26,Australia,1799,35,1671,5,24,640,272,224,144,327,182,131,1293,723,World Football Elo Ratings PDF,2026-06-21
27,Ukraine,1780,31,1745,0,-19,340,134,146,60,154,91,95,478,358,World Football Elo Ratings PDF,2026-06-21
28,Canada,1777,49,1599,-1,-22,492,156,200,136,191,185,116,636,625,World Football Elo Ratings PDF,2026-06-21
29,Russia,1772,24,1742,0,-21,815,313,383,119,432,174,209,1482,779,World Football Elo Ratings PDF,2026-06-21
30,South Korea,1771,35,1687,2,1,1054,353,256,445,574,222,258,1915,966,World Football Elo Ratings PDF,2026-06-21
31,Scotland,1768,14,1879,9,51,871,403,413,55,414,269,188,1504,1077,World Football Elo Ratings PDF,2026-06-21
32,Nigeria,1767,38,1669,35,191,717,241,264,212,332,180,205,1081,725,World Football Elo Ratings PDF,2026-06-21
33,Algeria,1759,48,1621,11,55,691,261,234,196,311,197,183,1057,706,World Football Elo Ratings PDF,2026-06-21
34,Iran,1756,40,1658,-8,-45,671,223,195,253,384,132,155,1277,527,World Football Elo Ratings PDF,2026-06-21
35,Greece,1744,49,1559,-15,-94,658,299,296,63,251,250,157,835,909,World Football Elo Ratings PDF,2026-06-21
36,Serbia,1734,20,1787,-15,-103,863,302,425,136,404,267,192,1623,1182,World Football Elo Ratings PDF,2026-06-21
37,Venezuela,1733,84,1433,0,-12,483,179,179,125,130,246,107,524,874,World Football Elo Ratings PDF,2026-06-21
38,Ivory Coast,1728,45,1640,27,141,695,241,238,216,350,167,178,1134,698,World Football Elo Ratings PDF,2026-06-21
39,Sweden,1727,17,1795,-6,-33,1122,490,500,132,550,337,235,2235,1493,World Football Elo Ratings PDF,2026-06-21
40,Chile,1717,28,1678,6,28,854,328,308,218,319,347,188,1197,1219,World Football Elo Ratings PDF,2026-06-21
41,Kosovo,1715,102,1420,18,106,109,49,40,20,43,43,23,156,147,World Football Elo Ratings PDF,2026-06-21
42,Egypt,1711,37,1662,8,45,886,354,281,251,447,217,222,1547,924,World Football Elo Ratings PDF,2026-06-21
43,Hungary,1710,20,1835,2,9,1035,469,492,74,489,324,222,2074,1527,World Football Elo Ratings PDF,2026-06-21
43,Poland,1710,30,1712,4,28,921,397,410,114,400,296,225,1564,1243,World Football Elo Ratings PDF,2026-06-21
45,Ireland,1699,24,1626,9,66,743,378,305,60,262,287,194,979,1161,World Football Elo Ratings PDF,2026-06-21
45,Peru,1699,34,1679,-7,-44,710,266,253,191,229,305,176,860,991,World Football Elo Ratings PDF,2026-06-21
47,Uzbekistan,1698,59,1597,-4,-9,368,130,129,109,180,113,75,637,405,World Football Elo Ratings PDF,2026-06-21
48,Czechia,1696,13,1854,-12,-53,886,361,416,109,426,262,198,1631,1102,World Football Elo Ratings PDF,2026-06-21
49,Panama,1683,99,1362,-14,-67,595,201,228,166,197,253,145,743,916,World Football Elo Ratings PDF,2026-06-21
50,Slovenia,1682,54,1625,-16,-70,321,145,146,30,116,118,87,401,381,World Football Elo Ratings PDF,2026-06-21
50,Wales,1682,22,1671,-11,-44,735,346,357,32,236,332,167,919,1176,World Football Elo Ratings PDF,2026-06-21
52,DR Congo,1674,62,1557,14,91,550,166,225,159,226,172,152,837,644,World Football Elo Ratings PDF,2026-06-21
53,Slovakia,1667,40,1682,-2,2,368,158,166,44,150,131,87,521,460,World Football Elo Ratings PDF,2026-06-21
54,Georgia,1654,70,1553,-12,-57,321,141,148,32,107,146,68,415,444,World Football Elo Ratings PDF,2026-06-21
55,Jordan,1653,111,1324,2,29,586,201,193,192,207,221,158,731,720,World Football Elo Ratings PDF,2026-06-21
56,Israel,1647,49,1621,-1,18,524,249,213,62,197,207,120,804,764,World Football Elo Ratings PDF,2026-06-21
57,Romania,1639,29,1717,-9,-42,802,333,377,92,355,247,200,1306,1020,World Football Elo Ratings PDF,2026-06-21
58,Bolivia,1621,60,1510,-6,-43,538,189,205,144,122,295,121,551,1060,World Football Elo Ratings PDF,2026-06-21
59,Albania,1616,72,1504,-3,-11,410,192,185,33,116,209,85,396,604,World Football Elo Ratings PDF,2026-06-21
60,Cameroon,1614,53,1604,4,21,661,184,247,230,287,172,202,952,712,World Football Elo Ratings PDF,2026-06-21
61,Costa Rica,1608,36,1689,-12,-65,791,259,282,250,356,244,191,1369,922,World Football Elo Ratings PDF,2026-06-21
62,Cape Verde,1606,120,1302,15,88,254,80,91,83,96,97,61,273,278,World Football Elo Ratings PDF,2026-06-21
62,Northern Ireland,1606,40,1655,7,44,612,276,298,38,172,290,150,645,928,World Football Elo Ratings PDF,2026-06-21
64,Saudi Arabia,1598,76,1499,-1,1,840,324,151,365,396,247,197,1284,897,World Football Elo Ratings PDF,2026-06-21
65,Bosnia and Herzegovina,1596,53,1626,10,73,283,118,137,28,104,112,67,396,391,World Football Elo Ratings PDF,2026-06-21
66,Iraq,1592,47,1622,5,42,763,139,232,392,360,191,212,1205,714,World Football Elo Ratings PDF,2026-06-21
67,North Macedonia,1589,74,1534,-14,-45,305,141,134,30,95,131,79,364,411,World Football Elo Ratings PDF,2026-06-21
68,Mali,1588,70,1523,-6,-13,625,195,234,196,249,206,170,824,718,World Football Elo Ratings PDF,2026-06-21
69,Tunisia,1585,47,1616,-11,-28,778,337,253,188,330,232,216,1106,850,World Football Elo Ratings PDF,2026-06-21
70,New Zealand,1578,66,1500,-9,-24,442,135,189,118,181,181,80,769,652,World Football Elo Ratings PDF,2026-06-21
71,Honduras,1570,63,1500,2,22,668,212,217,239,263,232,173,964,859,World Football Elo Ratings PDF,2026-06-21
72,Iceland,1568,81,1425,-1,18,527,216,251,60,160,263,104,635,885,World Football Elo Ratings PDF,2026-06-21
73,Ghana,1557,42,1650,12,80,780,247,298,235,371,213,196,1249,823,World Football Elo Ratings PDF,2026-06-21
74,Angola,1542,86,1456,-14,-65,475,166,184,125,176,140,159,579,490,World Football Elo Ratings PDF,2026-06-21
75,United Arab Emirates,1540,98,1395,-1,3,674,287,141,246,263,238,173,933,831,World Football Elo Ratings PDF,2026-06-21
76,Finland,1536,62,1500,-6,-20,825,337,430,58,217,441,167,972,1699,World Football Elo Ratings PDF,2026-06-21
77,Burkina Faso,1529,98,1402,3,27,493,154,188,151,170,192,131,614,677,World Football Elo Ratings PDF,2026-06-21
78,Haiti,1528,81,1418,8,55,565,181,196,188,247,200,118,962,765,World Football Elo Ratings PDF,2026-06-21
79,Jamaica,1527,83,1413,-11,-42,719,272,268,179,280,272,167,961,942,World Football Elo Ratings PDF,2026-06-21
79,South Africa,1527,32,1707,-4,4,528,276,162,90,231,142,155,721,546,World Football Elo Ratings PDF,2026-06-21
81,Belarus,1522,80,1505,2,30,308,105,158,45,91,137,80,348,445,World Football Elo Ratings PDF,2026-06-21
82,Guatemala,1504,68,1486,-2,2,628,205,180,243,225,237,166,878,858,World Football Elo Ratings PDF,2026-06-21
83,Oman,1479,127,1211,-1,-22,594,230,145,219,223,219,152,757,784,World Football Elo Ratings PDF,2026-06-21
83,Syria,1479,86,1428,10,36,598,125,224,249,223,227,148,859,760,World Football Elo Ratings PDF,2026-06-21
85,Palestine,1465,121,1255,2,5,292,19,113,160,84,128,80,370,446,World Football Elo Ratings PDF,2026-06-21
86,Guinea,1463,72,1516,5,12,646,172,263,211,251,211,184,953,804,World Football Elo Ratings PDF,2026-06-21
87,Montenegro,1461,60,1596,-8,-53,174,91,78,5,58,73,43,205,239,World Football Elo Ratings PDF,2026-06-21
88,Bulgaria,1458,41,1633,2,6,781,299,400,82,286,300,195,1094,1152,World Football Elo Ratings PDF,2026-06-21
89,Luxembourg,1450,108,1256,0,-5,475,258,201,16,55,358,62,309,1225,World Football Elo Ratings PDF,2026-06-21
90,Northern Cyprus,1442,87,1450,4,0,16,5,3,8,8,6,2,28,22,World Football Elo Ratings PDF,2026-06-21
91,Qatar,1437,93,1416,-13,-80,701,328,148,225,289,234,178,994,833,World Football Elo Ratings PDF,2026-06-21
92,Suriname,1431,84,1404,12,37,542,230,222,90,238,175,129,984,739,World Football Elo Ratings PDF,2026-06-21
93,Kazakhstan,1428,100,1420,7,26,272,103,123,46,70,143,59,285,454,World Football Elo Ratings PDF,2026-06-21
94,Curaçao,1427,97,1381,12,38,501,174,177,150,202,175,124,885,778,World Football Elo Ratings PDF,2026-06-21
95,China,1424,50,1577,4,21,764,272,265,227,369,231,164,1422,862,World Football Elo Ratings PDF,2026-06-21
95,Kurdistan,1424,100,1424,2,0,4,2,0,2,3,0,1,12,3,World Football Elo Ratings PDF,2026-06-21
97,Libya,1420,82,1469,13,35,458,164,166,128,165,185,108,620,611,World Football Elo Ratings PDF,2026-06-21
98,Gambia,1419,118,1309,11,33,299,108,100,91,81,136,82,319,433,World Football Elo Ratings PDF,2026-06-21
99,Bahrain,1414,109,1349,-7,-35,637,218,159,260,223,248,166,780,826,World Football Elo Ratings PDF,2026-06-21
100,Benin,1405,109,1356,-2,-2,354,129,142,83,87,182,85,366,623,World Football Elo Ratings PDF,2026-06-21
101,Gabon,1401,95,1413,-14,-59,462,184,154,124,159,174,129,551,567,World Football Elo Ratings PDF,2026-06-21
102,Uganda,1394,75,1482,10,13,736,251,257,228,304,238,194,1108,887,World Football Elo Ratings PDF,2026-06-21
103,Faroe Islands,1386,122,1252,44,111,283,119,141,23,51,195,37,213,641,World Football Elo Ratings PDF,2026-06-21
103,Trinidad and Tobago,1386,61,1505,1,-8,872,344,365,163,375,304,193,1446,1130,World Football Elo Ratings PDF,2026-06-21
105,Niger,1382,133,1239,20,45,292,100,117,75,65,158,69,287,517,World Football Elo Ratings PDF,2026-06-21
106,Equatorial Guinea,1380,151,1159,-22,-100,196,80,64,52,56,96,44,182,288,World Football Elo Ratings PDF,2026-06-21
106,Madagascar,1380,104,1366,37,96,357,120,121,116,136,143,78,494,536,World Football Elo Ratings PDF,2026-06-21
108,Togo,1379,89,1439,9,8,495,179,198,118,158,210,127,539,675,World Football Elo Ratings PDF,2026-06-21
109,Thailand,1376,112,1318,14,25,935,389,200,346,366,358,211,1487,1408,World Football Elo Ratings PDF,2026-06-21
110,North Korea,1375,63,1566,5,0,417,50,149,218,175,127,115,641,447,World Football Elo Ratings PDF,2026-06-21
111,Comoros,1374,186,941,-15,-52,159,29,35,95,41,81,37,145,246,World Football Elo Ratings PDF,2026-06-21
112,Armenia,1373,102,1418,-4,-14,283,115,132,36,66,158,59,283,539,World Football Elo Ratings PDF,2026-06-21
113,Indonesia,1372,101,1361,7,15,784,252,192,340,299,332,153,1317,1269,World Football Elo Ratings PDF,2026-06-21
113,Zimbabwe,1372,78,1462,-12,-26,552,190,223,139,207,184,161,738,663,World Football Elo Ratings PDF,2026-06-21
